 Bergara Kebab y Pizza Italiana	167522	https://www.just-eat.es/restaurants-bergarakebabypizzaitalianabergara/menu	10809, 10852, 10862, 10876, 10883, 11013, 11020, 11039
 El Purgatorio	190453	https://www.just-eat.es/restaurants-elpurgatoriocartagena/menu	17130, 17132, 17134, 17135, 17203, 17245, 17297, 17299, 17363, 17365, 17438, 17441, 17446, 17453, 17480, 17495, 17504, 17518, 17519, 17581, 17594, 17620, 17623, 17663, 17676
 King Kebab Lardero	173291	https://www.just-eat.es/restaurants-kingkebablardero/menu	14657, 14761
 Mil Pastas	102541	https://www.just-eat.es/restaurants-milpastaslalineadelaconcepcion/menu	5782, 5863, 5911, 5943, 5980, 5981
 New Turc Kebab & Pizzería	311478	https://www.just-eat.es/restaurants-newturckebabpizzeriaalcira/menu	35759, 35771, 35847, 35852, 35889, 35947
 Restaurante Chino Nuevo Siglo	309961	https://www.just-eat.es/restaurants-restaurantechinonuevosigloalaquas/menu	35733, 35749, 35788, 36081, 36169
¡Arre Con Ella! Comida Casera 100% Con Amor	335768	https://www.just-eat.es/restaurants-arre-con-ella-comida-casera-100-con-amor-28821/menu	38068, 38070, 38071, 38073, 38074, 38075, 38076, 38077, 38079, 38081, 38083, 38086, 38087, 38090, 38091, 38092, 38093, 38095, 38096, 38097, 38098, 38099, 38100, 38102, 38103, 38104, 38105, 38106, 38107, 38109, 38110, 38111, 38112, 38114, 38115, 38119, 38120, 38121, 38122, 38124, 38125, 38126, 38127, 38128, 38129, 38130, 38131, 38132, 38134, 38135, 38137, 38138, 38140, 38141, 38142, 38143, 38145, 38146, 38147, 38148, 38152, 38153, 38156, 38158, 38159, 38160, 38162, 38163, 38164, 38165, 38166, 38167, 38168, 38169, 38171, 38172, 38173, 38174, 38178, 38179, 38183, 38184, 38185, 38186, 38187, 38188, 38190, 38192, 38193, 38196, 38197, 38198, 38199, 38200, 38203, 38204, 38205, 38209, 38210, 38211, 38213, 38214, 38218, 38219, 38220, 38221, 38222, 38224, 38225, 38226, 38227, 38228, 38229, 38231, 38232, 38233, 38234, 38235, 38236, 38237, 38238, 38239, 38240, 38242, 38244, 38245, 38247, 38248, 38249, 38250, 38251, 38252, 38254, 38256, 38257, 38258, 38259, 38260, 38262, 38264, 38265, 38266, 38267, 38270, 38271, 38272, 38
¡Qué Bueno!	84118	https://www.just-eat.es/restaurants-que-bueno-santa-coloma-de-gramenet/menu	3866, 3886, 3889, 3979, 4095, 4113, 4138
¡Que Te Den! Ramen	453820	https://www.just-eat.es/restaurants-que-te-den-ramen-majadahonda/menu	38777, 38780
¡Valla Poke!	323988	https://www.just-eat.es/restaurants-vallapoke-valladolid/menu	36260, 36307, 36351, 36433
??El Palmeral Y La Dama	12122	https://www.just-eat.es/restaurants-el-palmeral-y-la-dama-elcheelx/menu	842, 922, 937, 1186, 1191, 1239, 1321, 1337, 1469, 1517, 1675, 1820, 1821, 1822, 1845
??Gurume Ramen	13937	https://www.just-eat.es/restaurants-gurume-ramen-alicantealacant/menu	898, 1007, 1022, 1051, 1126, 1151, 1293, 1376, 1448, 1587, 1703, 1705, 1708, 1758, 1777, 1840
??Pizza Hype	12775	https://www.just-eat.es/restaurants-pizza-hype-torrevieja/menu	858, 1023, 1105, 1189, 1196, 1243, 1245, 1251, 1287, 1311, 1360, 1399, 1431, 1477, 1490, 1614, 1642, 1728, 1748, 1749, 1775, 1839, 1842, 1863
.212	215286	https://www.just-eat.es/restaurants-212-oviedo/menu	22230, 22366, 22473, 22485, 22537, 22548, 22565, 22596, 22642, 22652, 22655, 22980, 22983, 23002, 23021, 23036, 23060, 23061, 23114, 23183, 23275, 23283, 23288, 23297, 23303, 23304, 23316, 23379, 23436, 23445, 23454, 23456, 23497, 23531, 23686, 23762, 23780, 23782, 23797, 23801, 23892, 23949, 24131, 24148, 24149, 24259, 24281, 24282, 24404, 24411, 24425, 24426, 24488, 24509, 24545, 24553, 24556, 24668, 24680, 24707, 24735, 24853, 24854, 24922, 24956, 24994, 25042, 25104, 25126, 25182, 25189, 25190, 25191, 25230, 25265, 25331, 25505, 25512, 25591, 25644, 25648, 25657, 25696, 25719, 25835, 25848, 25892, 25939, 26058, 26174, 26187, 26251, 26263, 26363, 26385, 26387, 26402, 26475, 26521, 26550, 26804, 26816, 26826, 26870, 26902, 26994, 26995, 27005, 27021, 27104, 27143, 27152, 27170, 27208, 27238, 27282, 27308, 27326, 27327, 27428, 27547, 27635, 27659, 27681, 27737, 27824, 27874, 27893, 27904, 27943, 28007, 28049, 28055, 28061, 28097, 28104, 28194, 28212, 28232, 28307, 28422
.212 Poke	215274	https://www.just-eat.es/restaurants-212-poke-oviedo/menu	22230, 22366, 22464, 22473, 22485, 22537, 22548, 22565, 22596, 22642, 22652, 22655, 22980, 22983, 23002, 23021, 23036, 23060, 23061, 23114, 23183, 23275, 23283, 23288, 23297, 23303, 23304, 23316, 23379, 23436, 23445, 23454, 23456, 23497, 23531, 23686, 23762, 23780, 23782, 23797, 23801, 23892, 23949, 24029, 24131, 24148, 24149, 24259, 24281, 24282, 24404, 24411, 24425, 24426, 24488, 24509, 24545, 24553, 24556, 24668, 24680, 24707, 24735, 24853, 24854, 24922, 24956, 24994, 25042, 25104, 25126, 25182, 25189, 25190, 25191, 25230, 25265, 25331, 25505, 25512, 25591, 25644, 25648, 25657, 25696, 25719, 25835, 25848, 25892, 25939, 26025, 26058, 26174, 26187, 26251, 26263, 26363, 26385, 26387, 26402, 26475, 26497, 26521, 26550, 26804, 26816, 26826, 26870, 26902, 26994, 26995, 27005, 27021, 27104, 27143, 27152, 27170, 27208, 27238, 27282, 27308, 27326, 27327, 27428, 27547, 27635, 27659, 27681, 27737, 27824, 27874, 27893, 27904, 27943, 28007, 28049, 28055, 28061, 28097, 28104, 28194, 28212, 28232, 28307, 28354, 28422
"Bebidas Lvcvs"	173499	https://www.just-eat.es/restaurants-bebidas-lvcvs-lugo/menu	14922, 14945, 14986, 15040, 15050, 15075, 15076, 15093, 15111, 15157, 15229, 15245, 15264, 15303, 15412, 15473, 15477, 15577, 15583, 15609, 15610, 15611, 15650, 15651, 15653, 15692, 15764, 15803, 15812, 15823, 15824, 15830, 15865, 15889, 15944, 16174, 16178
"La Chingada"	175447	https://www.just-eat.es/restaurants-la-chingada-madrid/menu	16307, 16308, 38068, 38070, 38071, 38073, 38074, 38075, 38076, 38077, 38079, 38081, 38083, 38086, 38087, 38090, 38091, 38092, 38093, 38095, 38096, 38097, 38098, 38099, 38100, 38102, 38103, 38104, 38105, 38106, 38107, 38108, 38109, 38110, 38111, 38112, 38114, 38115, 38119, 38120, 38121, 38122, 38124, 38125, 38126, 38127, 38128, 38129, 38130, 38131, 38132, 38134, 38135, 38137, 38138, 38140, 38141, 38142, 38143, 38145, 38146, 38147, 38148, 38152, 38153, 38156, 38158, 38159, 38160, 38162, 38163, 38164, 38165, 38166, 38167, 38168, 38169, 38171, 38172, 38173, 38174, 38178, 38179, 38183, 38184, 38185, 38186, 38187, 38188, 38190, 38192, 38193, 38196, 38197, 38198, 38199, 38200, 38203, 38204, 38205, 38209, 38210, 38211, 38213, 38214, 38218, 38219, 38220, 38221, 38222, 38224, 38225, 38226, 38227, 38228, 38229, 38231, 38232, 38233, 38234, 38235, 38236, 38237, 38238, 38239, 38240, 38242, 38244, 38245, 38247, 38248, 38249, 38250, 38251, 38252, 38254, 38255, 38256, 38257, 38258, 38259, 38260, 38262, 38264, 38265, 38266, 38
"Los Chamos" Bistró Delivery	170133	https://www.just-eat.es/restaurants-loschamos-barfood-leon/menu	12355, 12482, 12485, 12510, 12580, 12883, 12921, 12952, 12987, 12998, 13126, 13268, 13293, 13315, 13385, 13415, 13420, 13520, 13535, 13537, 13564, 13655, 13666
